 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2025/12/26 00:22,クリスマスも年末年始も家族と過ごすことすら難しい仕事してたけど　　今はみんなが休みの時に一緒に家にいられるのがほんと幸せ😭サンタさんも、うちだけ12月22日とか26日にきてたからね笑,https://twitter.com/miimo_writing/status/2004211101974909376,408,1,0,21,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/24 14:01,※こっそりクリスマスプレゼント🎄🤫✔︎AI時代に1000万稼げる人✔︎一生0円で終わる人決定的な違いがわかってしまいました。980円で販売予定のnote無料でお渡しします🎁今回は私の発信をいつも追ってくれてる近しい方たちに届けたいだけなので✔︎拡散不要✔︎リプ不要,https://twitter.com/miimo_writing/status/2003692415375527998,2303,3,0,33,2,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/23 17:01,時給型でいったらそりゃ稼げるがな。コンテンツビジネスのおもろいところは時給型にレバレッジかけて資産型にできるとこなんだよなあ。,https://twitter.com/miimo_writing/status/2003375365994217848,480,0,0,12,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/23 16:56,2年前からしたら、フォロワーさんの顔ぶれもだいぶ変わってる。てことは、やっぱ1つのこと続けるって難しいんだよなあ。だけど、ずーっと残ってる人もいて…「この人のハートどうなってるん？🤣」っていう鉄人みたいな人もいる。お互いフォローしてなくても、タイムラインで流れてくると、なんかもう勝手に戦友みたいに思えてくるよね。,https://twitter.com/miimo_writing/status/2003374032918577433,266,0,0,14,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/23 16:47,家でなら深夜早朝いくらでも働けるんだけど、今家出たら赤ちゃんがちぬから、ほんとはあちこち出たいけど出れない🥹,https://twitter.com/miimo_writing/status/2003371779159711957,278,0,0,13,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/23 16:20,「そのノウハウはまだ表に出さないでくださいね！」って釘刺されてるやつが3つくらいあってウズウズしてる😭在宅で気ままに生きていきたい人は私見といてくださいねほんま🙏近々、放出する準備すすめてますので！,https://twitter.com/miimo_writing/status/2003365188939231528,289,1,0,21,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/22 06:20,娘のクリスマスプレゼント焦って用意してるサンタはわたしです🎅いつもメルマガ読んでくれてる方々にもプレゼント用意しようかな🫶✔︎夜なべしても時給0円だった私が時給80万をたたき出せた裏話とか✔︎AI時代に1000万稼げる人と一生0円の人の決定的な〇〇〇の差とか興味ありますか？,https://twitter.com/miimo_writing/status/2002851813339607239,361,4,0,24,0,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/20 17:45,商材屋スキルのおかげで脱サラはできたし、一緒にビジネスやろうって声かけてもらえるし、みもアカ関係なく0から自分のスキルで価格交渉していけるし、まぁ、趣味程度に働くくらいで食うには困らんだろうって思えるのもぜーんぶ商材屋スキル身につけたおかげ。半年頑張って780点とかいう微妙すぎるTOEICの点数なんかクソの役にも立たんかった🤷‍♀️結論、胡散臭い商材屋スキルが1番人生で役にたつ。,https://twitter.com/miimo_writing/status/2002299239687467149,1645,0,0,28,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/20 11:19,おとといも、きのうのミーティング中にも売れてたみたい！みもさんは1000円とか1万円の商品とか売れてもなにも思わないんだろな〜的なこと思われてるぽいけどいや、購入通知きてないか毎日チェックしてるし、普通に1円だろうが、100円だろうが、売れたら嬉しいに決まってる☺️バコっと売るのもいいけど、毎日売れる固定ポストの仕組みの幸福度は計り知れない🫶,https://twitter.com/miimo_writing/status/2002202234399174772,698,2,0,25,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
,2025/12/17 13:16,実は…わたしのせいで、新生児の赤ちゃんがあぶないことになってました😭長女（おねえちゃん）が保育園いってるんですけど、基本、保育園児って鼻水ズビズビなんですよね。でも、おねえちゃんは妹（新生児赤ちゃん）に、愛を伝えたい。✔︎抱っこしたい✔︎キスしたい✔︎一緒に寝たい✔︎かたときも離れたくないそれはもう、母である私以上に母性あふれる感情表現をしてくれて…💋💋💋結果、風邪引くはずのない新生児が鼻づまりと咳と痰で、超くるしそう、てか、無呼吸になりまくって命危ういんちゃうか？レベルになってました😭健康体の新生児で病院行くことなんて本来ありえないんですけど、生まれて2週間で病院連れてって、いろいろ検査してもらいました。結果、赤ちゃんがかかったらまじでヤバい恐ろしいRSって病気ではなかったのが幸い！！ただのおねえちゃんからの風邪。ってだけでした。とはいえ、赤ちゃんすぎて薬も飲めないし、様子見するしかない状態だったんですけど…私がおねえちゃんの愛情表現を優先してしまって、赤ちゃんが危ういことに😭大事な命が２つに増えて、幸せだけどもうまじで難しいことだらけですてば😭これまで6年間一人っ子だったんですが、ほんとに気楽すぎた😭自分ごとになってはじめてわかる…2人以上の子持ちの気持ち…自分が体験してN1になるってだいじやな🥹チビが2人以上いる先輩方これからインフルで全滅の季節ですよね😭生き残りをかけて、頑張りましょうねっ…！！！,https://twitter.com/miimo_writing/status/2001144482948145356,4416,8,0,54,1,Twitter for iPhone,miimo_writing,みも,30代2児の母、ライティングのコンサルとか、コンテンツ販売とかで2000万くらいはいきました。今は赤ちゃん片手にパソコン叩いて、家でできる仕事を細々としてます。私がやってきたことの全記録は固定ポスト。無料で見れます👌,1679,3182,10641,2023/06/09 13:19,
